serial_number,employee_number,first_name,last_name,phone_number,first_choice,second_choice,third_choice,fourth_choice,fifth_choice
1,1001,John,Smith,555-0101,MO,SW,GY,MO,SW
2,1002,Jane,Johnson,555-0102,SW,GY,MO,SW,GY
3,1003,Robert,Williams,555-0103,GY,MO,SW,MO,GY
4,1004,Linda,Jones,555-0104,MO,GY,SW,SW,MO
5,1005,James,Brown,555-0105,SW,MO,GY,SW,MO
6,1006,Patricia,Davis,555-0106,GY,SW,MO,MO,GY
7,1007,Michael,Miller,555-0107,MO,SW,GY,SW,MO
8,1008,Barbara,Wilson,555-0108,SW,MO,GY,MO,SW
9,1009,William,Moore,555-0109,GY,MO,SW,MO,SW
10,1010,Elizabeth,Taylor,555-0110,MO,SW,GY,GY,MO
11,1011,David,Anderson,555-0111,SW,GY,MO,SW,GY
12,1012,Mary,Thomas,555-0112,MO,GY,SW,MO,GY
13,1013,Richard,Jackson,555-0113,SW,MO,GY,SW,MO
14,1014,Joseph,White,555-0114,GY,SW,MO,MO,GY
15,1015,Jennifer,Harris,555-0115,MO,SW,GY,SW,MO
16,1016,Charles,Martin,555-0116,SW,MO,GY,MO,SW
17,1017,Susan,Thompson,555-0117,MO,GY,SW,MO,GY
18,1018,Christopher,Garcia,555-0118,GY,SW,MO,SW,MO
19,1019,Jessica,Martinez,555-0119,MO,SW,GY,GY,MO
20,1020,Daniel,Robinson,555-0120,SW,MO,GY,SW,MO
21,1021,Nancy,Clark,555-0121,GY,MO,SW,MO,SW
