seniority_number,last_name,first_name,hire_date,employee_number
1,Smith,John,2000-01-15,1001
2,Johnson,Jane,2001-03-22,1002
3,Williams,Robert,2002-06-10,1003
4,Jones,Linda,2003-08-18,1004
5,Brown,James,2004-11-05,1005
6,Davis,Patricia,2005-01-30,1006
7,Miller,Michael,2006-04-12,1007
8,Wilson,Barbara,2007-07-08,1008
9,Moore,William,2008-09-23,1009
10,Taylor,Elizabeth,2009-12-14,1010
11,Anderson,David,2010-03-03,1011
12,Thomas,Mary,2011-05-19,1012
13,Jackson,Richard,2012-08-07,1013
14,White,Joseph,2013-10-25,1014
15,Harris,Jennifer,2014-01-15,1015
16,Martin,Charles,2015-03-22,1016
17,Thompson,Susan,2016-06-12,1017
18,Garcia,Christopher,2017-08-30,1018
19,Martinez,Jessica,2018-11-01,1019
20,Robinson,Daniel,2019-02-14,1020
21,Clark,Nancy,2020-05-25,1021
